method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(java.lang.Runnable)>,0,<com.unity3d.player.UnityPlayer$5: void run()>,1.0,1.0,4.0,3.0,8.0,41.0,164.0,1.0,1.0,-1.0,164.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,3.0,8.0,41.0,164.0,1.0,1.0,-1.0,164.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void hideSoftInput()>,0,<com.unity3d.player.UnityPlayer$5: void <init>(com.unity3d.player.UnityPlayer)>,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.l: boolean c()>,1.0,1.0,4.0,1.0,1.0,10.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,10.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void preloadJavaPlugins()>,0,<com.unity3d.player.f: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,14.0,7.0,1.0,1.0,-1.0,7.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,14.0,7.0,1.0,1.0,-1.0,7.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.j$a: int[] a()>,0,<com.unity3d.player.j$a: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,2.0,90.0,1.0,1.0,-1.0,90.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,2.0,90.0,1.0,1.0,-1.0,90.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.l: boolean c()>,0,<com.unity3d.player.l: void <clinit>()>,1.0,1.0,4.0,10.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,10.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: java.lang.String loadNative(java.lang.String)>,1.0,1.0,3.0,2.0,15.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,15.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,"<com.unity3d.player.UnityPlayer$c: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,3.0,2.0,1.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onStart()>,0,<com.unity3d.player.UnityPlayer: void resume()>,1.0,1.0,2.0,1.0,8.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,8.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.l: boolean f()>,1.0,1.0,4.0,1.0,0.0,1.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,1.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void pause()>,0,<com.unity3d.player.AudioVolumeHandler: void a()>,1.0,1.0,3.0,6.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,6.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onCreate(android.os.Bundle)>,0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,2.0,1.0,2.0,30.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,2.0,30.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.l: boolean c()>,1.0,1.0,3.0,2.0,1.0,10.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,10.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void hideSoftInput()>,0,<com.unity3d.player.UnityPlayer: void postOnUiThread(java.lang.Runnable)>,1.0,1.0,6.0,1.0,163.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,163.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onResume()>,0,<com.unity3d.player.UnityPlayer: void resume()>,1.0,1.0,2.0,1.0,8.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,8.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.f: void Log(int,java.lang.String)>",0,<com.unity3d.player.f: void <clinit>()>,1.0,1.0,4.0,13.0,0.0,14.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,13.0,0.0,14.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: java.lang.String loadNative(java.lang.String)>,0,<com.unity3d.player.l: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,15.0,15.0,1.0,1.0,-1.0,15.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,15.0,15.0,1.0,1.0,-1.0,15.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,"<com.unity3d.player.j: void <init>(android.content.Context,int)>",1.0,1.0,3.0,2.0,7.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,7.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.k: void a(java.lang.String)>,0,<com.unity3d.player.k: java.lang.String b(java.lang.String)>,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,"<com.unity3d.player.UnityPlayer$e: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,0,<com.unity3d.player.b: void a(com.unity3d.player.b$b)>,1.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,"<com.unity3d.player.UnityPlayer: void reportSoftInputStr(java.lang.String,int,boolean)>",1.0,1.0,4.0,1.0,3.0,2.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,3.0,2.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer$c: void <init>(com.unity3d.player.UnityPlayer,byte)>",0,<com.unity3d.player.UnityPlayer$c: void <init>(com.unity3d.player.UnityPlayer)>,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,0,"<com.unity3d.player.UnityPlayer$13: void <init>(com.unity3d.player.UnityPlayer,boolean)>",1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void destroy()>,0,<com.unity3d.player.l: boolean d()>,1.0,1.0,3.0,2.0,0.0,2.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,0.0,2.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.MultiWindowSupport: boolean isInMultiWindowMode(android.app.Activity)>,0,<com.unity3d.player.PlatformSupport: void <clinit>()>,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: int getSplashMode()>,1.0,1.0,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void destroy()>,0,<com.unity3d.player.UnityPlayer: void pause()>,1.0,1.0,3.0,2.0,4.0,6.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,4.0,6.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void reportSoftInputArea(android.graphics.Rect)>,0,"<com.unity3d.player.UnityPlayer$12: void <init>(com.unity3d.player.UnityPlayer,android.graphics.Rect)>",1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: java.lang.String loadNative(java.lang.String)>,0,<com.unity3d.player.f: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,14.0,15.0,1.0,1.0,-1.0,15.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,14.0,15.0,1.0,1.0,-1.0,15.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,0,<com.unity3d.player.UnityPlayer: boolean isFinishing()>,1.0,1.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,3.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.AudioVolumeHandler: void a()>,0,<com.unity3d.player.b: void a()>,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.l: boolean e(boolean)>,0,<com.unity3d.player.l: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,1.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: java.lang.String getUnityNativeLibraryPath(android.content.Context)>,1.0,1.0,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer$5: void run()>,0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,5.0,41.0,2.0,30.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,41.0,2.0,30.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: int getNaturalOrientation(int)>,1.0,1.0,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onCreate(android.os.Bundle)>,0,<com.unity3d.player.UnityPlayerActivity: java.lang.String updateUnityCommandLineArguments(java.lang.String)>,1.0,1.0,2.0,1.0,0.0,1.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,0.0,1.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer$1: void <init>(com.unity3d.player.UnityPlayer)>,1.0,1.0,3.0,2.0,1.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void <clinit>()>,0,<com.unity3d.player.k: void <init>()>,1.0,1.0,2.0,30.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,30.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onPause()>,0,<com.unity3d.player.UnityPlayer: void pause()>,1.0,1.0,2.0,1.0,4.0,6.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,4.0,6.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onCreate(android.os.Bundle)>,0,"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",1.0,1.0,2.0,1.0,55.0,2.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,55.0,2.0,11.0,1.0,1.0,-1.0,11.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.j$a: int[] a()>,1.0,1.0,3.0,2.0,90.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,90.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void resume()>,0,<com.unity3d.player.l: boolean c()>,1.0,1.0,3.0,5.0,1.0,10.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,5.0,1.0,10.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer$e: void e()>,0,<com.unity3d.player.UnityPlayer$d: void <clinit>()>,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer$13: void <init>(com.unity3d.player.UnityPlayer,boolean)>",0,"<com.unity3d.player.UnityPlayer$f: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,7.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void preloadJavaPlugins()>,0,"<com.unity3d.player.f: void Log(int,java.lang.String)>",1.0,1.0,4.0,1.0,3.0,13.0,7.0,1.0,1.0,-1.0,7.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,3.0,13.0,7.0,1.0,1.0,-1.0,7.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void checkResumePlayer()>,0,<com.unity3d.player.l: boolean e(boolean)>,1.0,1.0,4.0,2.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,2.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer$10: void <init>(com.unity3d.player.UnityPlayer,boolean,java.lang.String,int)>",0,"<com.unity3d.player.UnityPlayer$f: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void checkResumePlayer()>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(java.lang.Runnable)>,1.0,1.0,4.0,2.0,164.0,3.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,2.0,164.0,3.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer$e: void a()>,0,<com.unity3d.player.UnityPlayer$e: void a(com.unity3d.player.UnityPlayer$d)>,1.0,1.0,4.0,1.0,3.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,3.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer$d: void <clinit>()>,0,"<com.unity3d.player.UnityPlayer$d: void <init>(java.lang.String,int)>",1.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,8.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void reportSoftInputStr(java.lang.String,int,boolean)>",0,<com.unity3d.player.UnityPlayer: void hideSoftInput()>,1.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,2.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: void EarlyEnableFullScreenIfEnabled(android.app.Activity)>,1.0,1.0,3.0,2.0,6.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,6.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void reportSoftInputStr(java.lang.String,int,boolean)>",0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer$1: void onClick(android.content.DialogInterface,int)>",0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,2.0,2.0,2.0,30.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,2.0,2.0,30.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.f: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,14.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,14.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(java.lang.Runnable)>,1.0,1.0,6.0,3.0,164.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,3.0,164.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: boolean getLaunchFullscreen()>,0,<com.unity3d.player.UnityPlayer: android.content.pm.ApplicationInfo getApplicationInfo()>,1.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onStop()>,0,<com.unity3d.player.UnityPlayer: void pause()>,1.0,1.0,2.0,1.0,4.0,6.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,4.0,6.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: java.lang.String logLoadLibMainError(java.lang.String,java.lang.String)>",0,"<com.unity3d.player.f: void Log(int,java.lang.String)>",1.0,1.0,5.0,1.0,3.0,13.0,5.0,1.0,1.0,-1.0,5.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,1.0,3.0,13.0,5.0,1.0,1.0,-1.0,5.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void destroy()>,0,<com.unity3d.player.UnityPlayerActivity: void onUnityPlayerQuitted()>,1.0,1.0,3.0,2.0,0.0,1.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,0.0,1.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void reportSoftInputStr(java.lang.String,int,boolean)>",0,"<com.unity3d.player.UnityPlayer$10: void <init>(com.unity3d.player.UnityPlayer,boolean,java.lang.String,int)>",1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onNewIntent(android.content.Intent)>,0,<com.unity3d.player.UnityPlayer: void newIntent(android.content.Intent)>,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void destroy()>,0,<com.unity3d.player.h: void a()>,1.0,1.0,3.0,2.0,2.0,1.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,2.0,1.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
