method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,0,<com.unity3d.player.b: void <init>(android.content.Context)>,1.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,14986.0,100010.0,6.673561991191779,155.86181381861817,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
"<com.unity3d.player.UnityPlayer: void <init>(android.content.Context,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: java.lang.String getUnityNativeLibraryPath(android.content.Context)>,1.0,1.0,3.0,2.0,1.0,1.0,57.0,1.0,1.0,-1.0,57.0,14986.0,100010.0,6.673561991191779,155.86181381861817,3.0,2.0,1.0,1.0,57.0,1.0,1.0,-1.0,57.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
<com.unity3d.player.UnityPlayerActivity: void onResume()>,0,<com.unity3d.player.MultiWindowSupport: boolean getAllowResizableWindow(android.app.Activity)>,1.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,-1.0,5.0,14986.0,100010.0,6.673561991191779,155.86181381861817,2.0,1.0,5.0,5.0,5.0,1.0,1.0,-1.0,5.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
<com.unity3d.player.UnityPlayer: void resume()>,0,<com.unity3d.player.m: void <clinit>()>,1.0,1.0,3.0,5.0,0.0,15.0,9.0,1.0,1.0,-1.0,9.0,14986.0,100010.0,6.673561991191779,155.86181381861817,3.0,5.0,0.0,15.0,9.0,1.0,1.0,-1.0,9.0,14986.0,100010.0,6.673561991191779,155.86181381861817,0
<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,0,<com.unity3d.player.b: void a(com.unity3d.player.b$b)>,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,-1.0,3.0,14986.0,100010.0,6.673561991191779,155.86181381861817,4.0,1.0,4.0,1.0,3.0,1.0,1.0,-1.0,3.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,"<com.unity3d.player.UnityPlayer: void reportSoftInputStr(java.lang.String,int,boolean)>",1.0,1.0,4.0,1.0,3.0,1.0,18.0,1.0,1.0,-1.0,18.0,14986.0,100010.0,6.673561991191779,155.86181381861817,4.0,1.0,3.0,1.0,18.0,1.0,1.0,-1.0,18.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
<com.unity3d.player.m: boolean c()>,0,<com.unity3d.player.m: void <clinit>()>,1.0,1.0,4.0,10.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,14986.0,100010.0,6.673561991191779,155.86181381861817,4.0,10.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,14986.0,100010.0,6.673561991191779,155.86181381861817,0
<com.unity3d.player.UnityPlayerActivity: void onResume()>,0,<com.unity3d.player.MultiWindowSupport: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,8.0,5.0,1.0,1.0,-1.0,5.0,14986.0,100010.0,6.673561991191779,155.86181381861817,2.0,1.0,0.0,8.0,5.0,1.0,1.0,-1.0,5.0,14986.0,100010.0,6.673561991191779,155.86181381861817,0
"<com.unity3d.player.UnityPlayer$c: void <init>(com.unity3d.player.UnityPlayer,byte)>",0,<com.unity3d.player.UnityPlayer$c: void <init>(com.unity3d.player.UnityPlayer)>,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,14986.0,100010.0,6.673561991191779,155.86181381861817,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
<com.unity3d.player.UnityPlayer: void reportSoftInputArea(android.graphics.Rect)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,14986.0,100010.0,6.673561991191779,155.86181381861817,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,14986.0,100010.0,6.673561991191779,155.86181381861817,1
